#ID Number,Date,t_start,t_end ,t_peak,duration,goes_class,CME,period_average,period_avg_plus_error,period_avg_neg_error,impulsive_period,impulsive_plus_error,impulsive_neg_error,decay_period,decay_plus_error,decay_neg_error,period_drift,period_drift_plus_error,period_drift_neg_error,pd_non_sig_flag
1,2011-02-14,17:20:00,17:31:55,17:26:08,713,M2.2,0,12.2,0.2,-0.2,10.3,0.2,-0.1,14.1,0.3,-0.3,3.7,0.3,-0.3,1
2,2011-02-15,01:44:00,02:07:56,01:56:44,1431,X2.2,1,22.5,0.3,-0.3,18.8,0.2,-0.2,26.2,0.5,-0.5,7.4,0.5,-0.5,0
3,2011-02-18,20:56:00,21:11:53,21:03:58,950,M1.3,0,13.1,0.2,-0.2,8.4,0.1,-0.1,17.8,0.3,-0.3,9.4,0.3,-0.3,0
4,2011-04-22,04:35:00,05:18:56,04:56:43,2625,M1.8,0,19,0.1,-0.1,15.6,0.1,-0.1,22.4,0.2,-0.2,6.8,0.2,-0.2,0
5,2011-05-29,10:08:00,10:57:54,10:33:15,2980,M1.4,1,54.7,1,-1,33.8,0.4,-0.4,75.7,2,-1.9,41.9,2,-1.9,0
6,2011-08-03,13:17:00,14:18:57,13:47:56,3701,M6.0,1,57.4,0.8,-0.7,42.4,0.5,-0.5,72.4,1.4,-1.4,30.0,1.5,-1.5,0
7,2011-09-07,22:32:00,22:43:52,22:38:44,709,X1.8,1,14.9,0.3,-0.3,11,0.2,-0.2,18.8,0.5,-0.5,7.8,0.5,-0.5,0
8,2011-09-10,07:18:00,08:01:56,07:40:43,2625,M1.1,1,28.7,0.2,-0.2,23.9,0.2,-0.2,33.5,0.4,-0.4,9.6,0.5,-0.5,0
9,2011-09-23,23:48:00,00:03:54 ***,23:55:41,950,M1.9,1,12.3,0.1,-0.1,11.6,0.1,-0.1,13.0,0.2,-0.2,1.4,0.2,-0.2,1
10,2011-09-24,17:19:00,17:30:55,17:25:33,713,M3.1,0,13.2,0.2,-0.2,10.7,0.2,-0.2,15.7,0.4,-0.3,5.0,0.4,-0.4,0
11,2011-09-25,09:25:00,09:44:54,09:35:56,1190,M1.5,1,16.1,0.2,-0.2,18.4,0.3,-0.3,13.8,0.2,-0.2,-4.6,0.3,-0.3,0
12,2011-10-01,08:56:00,11:01:52,09:59:21,7516,M1.2,1,48.4,0.5,-0.5,13.9,0,0,82.9,0.9,-0.9,68.9,0.9,-0.9,0
13,2011-11-05,20:31:00,20:44:53,20:38:34,832,M1.8,0,12.6,0.1,-0.1,12.4,0.2,-0.2,12.8,0.2,-0.2,0.4,0.3,-0.3,1
14,2012-01-17,04:41:00,05:04:56,04:53:40,1431,M1.0,0,12.1,0.1,-0.1,14.6,0.2,-0.1,9.5,0.1,-0.1,-5.1,0.2,-0.2,0
15,2012-01-19,13:44:00,18:25:54,16:03:17,16834,M3.2,1,127.9,1.1,-1.1,190.7,2.2,-2.1,65.0,0.3,-0.2,-125.8,2.2,-2.2,0
16,2012-03-02,17:29:00,18:02:55,17:46:26,2026,M3.3,1,33.4,0.4,-0.4,31.1,0.5,-0.5,35.6,0.6,-0.6,4.5,0.8,-0.8,0
17,2012-03-05,02:30:00,05:47:56,04:08:34,11820,X1.1,0,105.3,1.2,-1.1,45,0.2,-0.2,165.6,2.4,-2.3,120.6,2.4,-2.3,0
18,2012-03-07,01:05:00,01:22:47,01:15:25,1056,X1.3,1,27.1,0.9,-0.8,12,0.1,-0.1,42.2,1.8,-1.6,30.2,1.8,-1.6,0
19,2012-03-09,03:22:00,04:23:53,03:53:19,3697,M6.3,1,34.3,0.5,-0.5,9.1,0,0,59.5,1,-0.9,50.4,1,-0.9,0
20,2012-03-10,17:15:00,18:12:52,17:43:55,3456,M8.4,1,47.7,0.9,-0.8,18.5,0.1,-0.1,76.8,1.7,-1.7,58.3,1.7,-1.7,0
21,2012-05-06,01:12:00,01:23:55,01:18:05,713,M1.1,0,13.3,0.2,-0.2,14.3,0.3,-0.3,12.2,0.2,-0.2,-2.1,0.4,-0.3,1
22,2012-05-07,14:03:00,14:58:53,14:31:18,3338,M1.9,1,76.8,1.4,-1.3,64.1,1.3,-1.2,89.4,2.5,-2.3,25.4,2.8,-2.6,0
23,2012-05-09,21:01:00,21:08:53,21:05:22,473,M4.1,0,12.3,0.3,-0.2,14.3,0.4,-0.4,10.3,0.2,-0.2,-4.0,0.5,-0.5,1
24,2012-05-10,04:11:00,04:24:54,04:17:50,832,M5.7,1,16.3,0.2,-0.2,16.1,0.3,-0.3,16.6,0.3,-0.3,0.5,0.5,-0.4,1
25,2012-07-19,04:17:00,07:38:55,05:57:51,12057,M7.7,1,102.3,1,-0.9,53.5,0.2,-0.2,151.1,1.9,-1.9,97.6,1.9,-1.9,0
26,2012-07-30,15:39:00,15:56:55,15:48:28,1072,M1.1,0,16.9,0.3,-0.3,10.3,0.1,-0.1,23.5,0.5,-0.5,13.2,0.5,-0.5,0
27,2012-08-11,11:55:00,12:44:54,12:19:52,2980,M1.0,1,12.3,0,0,15.7,0.1,-0.1,8.9,0,0,-6.8,0.1,-0.1,0
28,2012-08-30,12:02:00,12:19:55,12:11:36,1072,M1.3,0,14.2,0.1,-0.1,15.3,0.2,-0.2,13.1,0.2,-0.2,-2.2,0.3,-0.3,1
29,2012-09-30,04:27:00,04:38:52,04:33:01,709,M1.3,0,10.9,0.1,-0.1,8.6,0.1,-0.1,13.2,0.2,-0.2,4.5,0.3,-0.3,0
30,2012-10-08,11:05:00,11:28:53,11:16:56,1427,M2.3,0,12.8,0.1,-0.1,14.6,0.2,-0.1,10.9,0.1,-0.1,-3.7,0.2,-0.2,1
31,2012-11-27,15:52:00,16:01:53,15:57:35,591,M1.6,0,11.1,0.2,-0.1,10.3,0.2,-0.2,12.0,0.2,-0.2,1.8,0.3,-0.3,1
32,2013-05-03,17:24:00,17:39:53,17:32:13,950,M5.7,1,23.1,0.6,-0.5,14.2,0.2,-0.2,32.0,1.1,-1,17.8,1.1,-1.1,0
33,2013-06-05,08:14:00,09:39:55,08:57:28,5132,M1.3,1,72.9,1.3,-1.2,33.2,0.2,-0.2,112.5,2.5,-2.4,79.3,2.5,-2.4,0
